IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN
 -0.000,   5501,   4250,  0.556, -0.268, -1.336,  0.117,  0.141
 -0.000,   5616,   4386,  0.561, -0.289, -1.314,  0.114,  0.106
 -0.000,   5731,   4516,  0.567, -0.309, -1.298,  0.105,  0.036
 -0.000,   5841,   4633,  0.572, -0.328, -1.290,  0.100,  0.001
 -0.000,   5950,   4745,  0.577, -0.345, -1.287,  0.093, -0.038
 -0.000,   6054,   4845,  0.582, -0.362, -1.291,  0.085, -0.083
 -0.000,   6153,   4936,  0.586, -0.378, -1.300,  0.081, -0.105
 -0.000,   6250,   5020,  0.590, -0.392, -1.314,  0.075, -0.128
 -0.000,   6343,   5097,  0.594, -0.406, -1.331,  0.073, -0.138
 -0.000,   6434,   5169,  0.597, -0.420, -1.351,  0.069, -0.148
 -0.000,   6520,   5236,  0.600, -0.432, -1.371,  0.065, -0.160
 -0.000,   6605,   5297,  0.602, -0.444, -1.397,  0.061, -0.165
 -0.000,   6686,   5356,  0.604, -0.456, -1.420,  0.055, -0.170
 -0.000,   6768,   5414,  0.605, -0.468, -1.446,  0.051, -0.164
 -0.000,   6839,   5462,  0.607, -0.478, -1.471,  0.047, -0.152
 -0.000,   6905,   5507,  0.607, -0.487, -1.493,  0.043, -0.139
 -0.000,   6966,   5549,  0.608, -0.496, -1.513,  0.041, -0.127
 -0.000,   7024,   5588,  0.608, -0.504, -1.534,  0.038, -0.111
 -0.000,   7077,   5625,  0.609, -0.512, -1.551,  0.037, -0.101
 -0.000,   7130,   5662,  0.609, -0.519, -1.568,  0.035, -0.091
 -0.000,   7180,   5695,  0.609, -0.526, -1.586,  0.033, -0.077
 -0.000,   7226,   5729,  0.608, -0.533, -1.599,  0.031, -0.059
 -0.000,   7270,   5762,  0.608, -0.540, -1.610,  0.027, -0.029
 -0.000,   7308,   5793,  0.608, -0.545, -1.618,  0.026, -0.015
 -0.000,   7316,   5822,  0.608, -0.549, -1.596,  0.000,  0.314
 -0.000,   7315,   5848,  0.608, -0.551, -1.567,  0.000,  0.314
 -0.000,   7315,   5872,  0.608, -0.553, -1.541,  0.000,  0.314
 -0.000,   7310,   5899,  0.608, -0.555, -1.507,  0.000,  0.314
 -0.000,   7299,   5926,  0.608, -0.556, -1.466,  0.000,  0.314
 -0.000,   7287,   5955,  0.608, -0.557, -1.423,  0.000,  0.314
 -0.000,   7274,   5985,  0.608, -0.559, -1.377,  0.000,  0.314
 -0.000,   7260,   6013,  0.609, -0.560, -1.332,  0.000,  0.314
 -0.000,   7244,   6041,  0.609, -0.561, -1.285,  0.000,  0.314
 -0.000,   7227,   6070,  0.609, -0.562, -1.236,  0.000,  0.314
 -0.000,   7210,   6101,  0.610, -0.563, -1.184,  0.000,  0.314
 -0.000,   7188,   6130,  0.610, -0.564, -1.130,  0.000,  0.314
 -0.000,   7167,   6159,  0.610, -0.564, -1.076,  0.000,  0.314
 -0.000,   7144,   6188,  0.611, -0.565, -1.021,  0.000,  0.314
 -0.000,   7121,   6218,  0.611, -0.565, -0.964,  0.000,  0.314
 -0.000,   7100,   6246,  0.611, -0.566, -0.912,  0.000,  0.314
 -0.000,   7076,   6277,  0.612, -0.566, -0.853,  0.000,  0.314
 -0.000,   7052,   6311,  0.612, -0.567, -0.791,  0.000,  0.314
 -0.000,   7032,   6335,  0.612, -0.567, -0.744,  0.000,  0.314
 -0.000,   7010,   6364,  0.613, -0.567, -0.690,  0.000,  0.314
 -0.000,   6987,   6393,  0.613, -0.568, -0.634,  0.000,  0.314
 -0.000,   6965,   6422,  0.614, -0.568, -0.580,  0.000,  0.314
 -0.000,   6943,   6450,  0.614, -0.568, -0.526,  0.000,  0.314
 -0.000,   6923,   6481,  0.615, -0.569, -0.472,  0.000,  0.314
 -0.000,   6900,   6511,  0.616, -0.569, -0.415,  0.000,  0.314
 -0.000,   6876,   6542,  0.616, -0.569, -0.357,  0.000,  0.314
 -0.000,   6853,   6571,  0.617, -0.569, -0.301,  0.000,  0.314
 -0.000,   6830,   6601,  0.617, -0.569, -0.245,  0.000,  0.314
 -0.000,   6806,   6630,  0.618, -0.569, -0.188,  0.000,  0.314
 -0.000,   6784,   6660,  0.618, -0.570, -0.132,  0.000,  0.314
 -0.000,   6760,   6689,  0.619, -0.570, -0.076,  0.000,  0.567
 -0.000,   6726,   6731,  0.619, -0.570,  0.005,  0.000,  0.455
 -0.000,   6691,   6771,  0.620, -0.570,  0.085,  0.000,  0.389
 -0.000,   6665,   6805,  0.620, -0.570,  0.150,  0.000,  0.265
 -0.000,   6646,   6831,  0.621, -0.569,  0.198,  0.000,  0.205
 -0.000,   6632,   6849,  0.621, -0.569,  0.232,  0.000,  0.131
 -0.000,   6628,   6860,  0.622, -0.569,  0.248,  0.023,  0.002
 -0.000,   6645,   6882,  0.625, -0.568,  0.253,  0.050, -0.064
 -0.000,   6684,   6928,  0.632, -0.567,  0.261,  0.077, -0.194
 -0.000,   6758,   6994,  0.643, -0.564,  0.252,  0.091, -0.247
 -0.000,   6858,   7074,  0.658, -0.560,  0.231,  0.100, -0.300
 -0.000,   6988,   7171,  0.675, -0.556,  0.199,  0.108, -0.314
 -0.000,   7117,   7265,  0.694, -0.553,  0.160,  0.112, -0.314
 -0.000,   7256,   7363,  0.713, -0.550,  0.119,  0.117, -0.314
 -0.000,   7401,   7466,  0.734, -0.548,  0.074,  0.120, -0.314
 -0.000,   7550,   7570,  0.758, -0.547,  0.021,  0.121, -0.314
 -0.000,   7701,   7678,  0.780, -0.547, -0.025,  0.122, -0.314
 -0.000,   7851,   7784,  0.801, -0.548, -0.072,  0.123, -0.302
 -0.000,   7999,   7893,  0.823, -0.550, -0.113,  0.122, -0.249
 -0.000,   8147,   8007,  0.845, -0.553, -0.150,  0.119, -0.215
 -0.000,   8286,   8119,  0.866, -0.556, -0.178,  0.114, -0.157
 -0.000,   8418,   8230,  0.886, -0.560, -0.201,  0.110, -0.121
 -0.000,   8543,   8339,  0.905, -0.564, -0.218,  0.107, -0.088
 -0.000,   8661,   8448,  0.924, -0.569, -0.227,  0.102, -0.050
 -0.000,   8773,   8554,  0.942, -0.573, -0.234,  0.098, -0.024
 -0.000,   8881,   8661,  0.960, -0.577, -0.235,  0.095, -0.006
 -0.000,   8982,   8764,  0.976, -0.581, -0.233,  0.089,  0.028
 -0.000,   9078,   8865,  0.993, -0.585, -0.227,  0.086,  0.045
 -0.000,   9168,   8963,  1.008, -0.588, -0.219,  0.077,  0.081
 -0.000,   9248,   9055,  1.022, -0.591, -0.206,  0.071,  0.096
 -0.000,   9322,   9142,  1.036, -0.594, -0.192,  0.065,  0.109
 -0.000,   9390,   9225,  1.048, -0.597, -0.176,  0.061,  0.114
 -0.000,   9452,   9303,  1.060, -0.599, -0.159,  0.058,  0.116
 -0.000,   9510,   9377,  1.071, -0.600, -0.142,  0.054,  0.119
 -0.000,   9565,   9449,  1.082, -0.602, -0.124,  0.051,  0.116
 -0.000,   9618,   9519,  1.092, -0.603, -0.106,  0.049,  0.115
 -0.000,   9668,   9585,  1.102, -0.604, -0.089,  0.046,  0.109
 -0.000,   9715,   9649,  1.111, -0.605, -0.070,  0.042,  0.097
 -0.000,   9759,   9709,  1.120, -0.605, -0.053,  0.039,  0.083
 -0.000,   9799,   9764,  1.128, -0.605, -0.037,  0.035,  0.066
 -0.000,   9837,   9815,  1.135, -0.606, -0.023,  0.033,  0.055
 -0.000,   9873,   9860,  1.142, -0.606, -0.014,  0.030,  0.037
 -0.000,   9907,   9902,  1.149, -0.606, -0.005,  0.028,  0.027
 -0.000,   9939,   9940,  1.155, -0.606,  0.001,  0.026,  0.011
 -0.000,   9955,   9971,  1.159, -0.606,  0.017,  0.000,  0.314
 -0.000,   9950,  10000,  1.161, -0.606,  0.053,  0.000,  0.314
 -0.000,   9944,  10031,  1.163, -0.606,  0.093,  0.000,  0.314
 -0.000,   9934,  10059,  1.164, -0.605,  0.133,  0.000,  0.314
 -0.000,   9926,  10088,  1.166, -0.605,  0.173,  0.000,  0.314
 -0.000,   9914,  10118,  1.168, -0.605,  0.218,  0.000,  0.314
 -0.000,   9902,  10149,  1.169, -0.604,  0.264,  0.000,  0.314
 -0.000,   9886,  10179,  1.170, -0.604,  0.313,  0.000,  0.314
 -0.000,   9868,  10210,  1.171, -0.604,  0.365,  0.000,  0.314
 -0.000,   9850,  10239,  1.172, -0.603,  0.415,  0.000,  0.314
 -0.000,   9829,  10269,  1.173, -0.603,  0.470,  0.000,  0.314
 -0.000,   9806,  10298,  1.173, -0.603,  0.525,  0.000,  0.314
 -0.000,   9784,  10329,  1.174, -0.602,  0.582,  0.000,  0.314
 -0.000,   9763,  10358,  1.174, -0.602,  0.635,  0.000,  0.314
 -0.000,   9741,  10388,  1.175, -0.602,  0.691,  0.000,  0.314
 -0.000,   9719,  10417,  1.175, -0.601,  0.745,  0.000,  0.314
 -0.000,   9698,  10447,  1.176, -0.601,  0.800,  0.000,  0.314
 -0.000,   9676,  10475,  1.176, -0.600,  0.853,  0.000,  0.314
 -0.000,   9660,  10500,  1.177, -0.600,  0.897,  0.000,  0.314
 -0.000,   9639,  10533,  1.177, -0.599,  0.955,  0.000,  0.314
 -0.000,   9618,  10563,  1.178, -0.598,  1.009,  0.000,  0.314
 -0.000,   9597,  10592,  1.178, -0.598,  1.063,  0.000,  0.314
 -0.000,   9577,  10623,  1.179, -0.597,  1.117,  0.000,  0.314
 -0.000,   9556,  10652,  1.179, -0.596,  1.170,  0.000,  0.314
 -0.000,   9535,  10682,  1.179, -0.596,  1.225,  0.000,  0.314
 -0.000,   9515,  10712,  1.179, -0.595,  1.278,  0.000,  0.314
