IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN,MEAS_VEL_L,MEAS_VEL_R
 -0.001,  14572,  17405,  0.126,  0.955,  3.025,  0.075, -0.141,  0.076,  0.068
 -0.001,  14668,  17484,  0.111,  0.957,  3.007,  0.067, -0.147,  0.076,  0.068
 -0.001,  14756,  17553,  0.098,  0.959,  2.987,  0.060, -0.153,  0.076,  0.051
 -0.001,  14838,  17615,  0.086,  0.961,  2.966,  0.054, -0.158,  0.076,  0.059
 -0.001,  14912,  17668,  0.076,  0.963,  2.943,  0.047, -0.164,  0.068,  0.042
 -0.001,  14980,  17713,  0.066,  0.965,  2.919,  0.000,  0.000,  0.051,  0.034
 -0.001,  14964,  17771,  0.063,  0.965,  2.998,  0.000,  0.785, -0.025,  0.068
 -0.001,  14922,  17840,  0.061,  0.965,  3.116,  0.000,  0.785, -0.034,  0.059
 -0.001,  14875,  17910,  0.059,  0.965, -3.042,  0.000,  0.785, -0.042,  0.059
 -0.001,  14826,  17981,  0.057,  0.965, -2.914,  0.000,  0.785, -0.034,  0.059
 -0.001,  14774,  18052,  0.055,  0.965, -2.782,  0.000,  0.785, -0.042,  0.059
 -0.001,  14719,  18122,  0.054,  0.964, -2.649,  0.000,  0.785, -0.042,  0.068
 -0.001,  14663,  18193,  0.053,  0.963, -2.513,  0.000,  0.785, -0.051,  0.059
 -0.001,  14603,  18266,  0.052,  0.963, -2.371,  0.000,  0.785, -0.051,  0.068
 -0.001,  14543,  18337,  0.052,  0.962, -2.231,  0.000,  0.785, -0.051,  0.059
 -0.001,  14489,  18402,  0.051,  0.961, -2.104,  0.000,  0.451, -0.034,  0.042
 -0.001,  14453,  18446,  0.051,  0.961, -2.019,  0.000,  0.373, -0.034,  0.034
 -0.001,  14423,  18486,  0.050,  0.960, -1.944,  0.000,  0.310, -0.025,  0.025
 -0.001,  14400,  18519,  0.050,  0.959, -1.884,  0.000,  0.245, -0.025,  0.025
 -0.001,  14381,  18547,  0.050,  0.958, -1.834,  0.000,  0.209, -0.017,  0.025
 -0.001,  14363,  18575,  0.050,  0.958, -1.790,  0.000,  0.167, -0.017,  0.025
 -0.001,  14357,  18591,  0.050,  0.957, -1.763,  0.000,  0.139,  0.000,  0.008
 -0.001,  14349,  18608,  0.049,  0.956, -1.738,  0.000,  0.110, -0.008,  0.017
 -0.001,  14345,  18621,  0.049,  0.955, -1.718,  0.000,  0.086,  0.000,  0.008
 -0.001,  14339,  18629,  0.049,  0.955, -1.704,  0.000,  0.070, -0.008,  0.008
 -0.001,  14335,  18636,  0.049,  0.955, -1.690,  0.000,  0.059, -0.008,  0.000
 -0.001,  14331,  18643,  0.049,  0.955, -1.678,  0.000,  0.049,  0.000,  0.000
 -0.001,  14330,  18650,  0.049,  0.954, -1.670,  0.000,  0.041,  0.000,  0.000
 -0.001,  14330,  18653,  0.049,  0.954, -1.666,  0.000,  0.035,  0.000,  0.008
 -0.001,  14330,  18657,  0.049,  0.953, -1.662,  0.000,  0.030,  0.000,  0.000
 -0.001,  14330,  18661,  0.049,  0.953, -1.658,  0.010,  0.035,  0.000,  0.008
 -0.001,  14357,  18695,  0.049,  0.948, -1.650,  0.090,  0.032,  0.034,  0.059
 -0.001,  14433,  18797,  0.048,  0.933, -1.623,  0.144,  0.028,  0.093,  0.110
 -0.001,  14567,  18952,  0.047,  0.908, -1.600,  0.176,  0.026,  0.135,  0.152
 -0.001,  14740,  19145,  0.046,  0.878, -1.579,  0.201,  0.024,  0.161,  0.178
 -0.001,  14942,  19360,  0.046,  0.842, -1.565,  0.217,  0.004,  0.186,  0.186
 -0.001,  15166,  19591,  0.047,  0.804, -1.558,  0.228, -0.014,  0.195,  0.195
 -0.001,  15402,  19833,  0.047,  0.763, -1.551,  0.235, -0.029,  0.203,  0.211
 -0.001,  15645,  20075,  0.048,  0.722, -1.552,  0.240, -0.041,  0.211,  0.211
 -0.001,  15894,  20324,  0.049,  0.680, -1.552,  0.243, -0.048,  0.220,  0.211
 -0.001,  16146,  20577,  0.050,  0.638, -1.551,  0.244, -0.055,  0.211,  0.220
 -0.001,  16400,  20828,  0.050,  0.595, -1.554,  0.246, -0.058,  0.220,  0.211
 -0.001,  16653,  21081,  0.051,  0.552, -1.554,  0.246, -0.062,  0.203,  0.211
 -0.001,  16907,  21334,  0.052,  0.509, -1.555,  0.247, -0.067,  0.211,  0.211
 -0.001,  17164,  21588,  0.052,  0.466, -1.559,  0.244, -0.071,  0.220,  0.211
 -0.001,  17417,  21837,  0.053,  0.423, -1.563,  0.226, -0.075,  0.203,  0.195
 -0.001,  17656,  22070,  0.053,  0.384, -1.569,  0.209, -0.081,  0.195,  0.186
 -0.001,  17880,  22288,  0.053,  0.346, -1.576,  0.195, -0.084,  0.186,  0.178
 -0.001,  18084,  22485,  0.053,  0.312, -1.583,  0.177, -0.090,  0.135,  0.127
 -0.001,  18274,  22668,  0.052,  0.281, -1.591,  0.160, -0.096,  0.152,  0.144
 -0.001,  18447,  22835,  0.051,  0.252, -1.597,  0.145, -0.101,  0.127,  0.127
 -0.001,  18607,  22985,  0.051,  0.226, -1.608,  0.131, -0.107,  0.127,  0.118
 -0.001,  18751,  23122,  0.050,  0.202, -1.615,  0.116, -0.114,  0.110,  0.118
 -0.001,  18886,  23244,  0.049,  0.180, -1.629,  0.106, -0.120,  0.118,  0.093
 -0.001,  19009,  23355,  0.047,  0.161, -1.642,  0.094, -0.127,  0.101,  0.085
 -0.001,  19122,  23454,  0.046,  0.143, -1.657,  0.083, -0.135,  0.093,  0.076
